# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1622303179, 542161, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303184, 545033, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303189, 547886, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303194, 550768, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303199, 553641, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303204, 556497, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303210, 559387, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303215, 562307, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303220, 565257, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303225, 568092, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303230, 570863, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303236, 573719, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303241, 576485, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303246, 579226, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303251, 581963, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303256, 584677, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303261, 587434, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303266, 590263, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303272, 592973, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303277, 595727, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303282, 598537, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303287, 601230, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303292, 603976, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303297, 606732, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303302, 609446, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303308, 612244, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303313, 615077, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303318, 617868, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303323, 620635, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303329, 623373, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303334, 626095, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303339, 628837, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303344, 631543, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303349, 634194, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303354, 636949, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303359, 639603, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303365, 642414, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303370, 645244, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303375, 648051, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303380, 650741, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303385, 653488, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303391, 656237, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303396, 658994, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303401, 661737, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303406, 664364, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303411, 667103, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303416, 669830, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303421, 672490, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303426, 675158, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303431, 677874, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303437, 680604, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303442, 683336, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303447, 686195, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303452, 688895, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303458, 691672, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303463, 694313, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303468, 697024, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303473, 699696, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303478, 702391, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303483, 705090, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303488, 707769, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303493, 710471, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303498, 713170, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303503, 715957, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303508, 718603, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303513, 721225, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303518, 723948, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303523, 726529, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303528, 729210, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303533, 732051, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303538, 734720, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303544, 737486, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303549, 740272, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303554, 742948, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303559, 745649, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303564, 748342, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303569, 751210, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303575, 754007, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303580, 756706, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303585, 759327, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
